Raman_Shift,Feature Importance
549.955,-0.188975587
550.894,-0.188975587
551.832,-0.188975587
552.771,-0.188975587
553.71,-0.188975587
554.648,-0.188975587
555.586,-0.188975587
556.523,-0.188975587
557.461,-0.188975587
558.398,-0.188975587
559.335,-0.188975587
560.272,-0.188975587
561.209,-0.188975587
562.145,-0.188975587
563.082,-0.188975587
564.018,-0.188975587
564.954,-0.188975587
565.889,-0.153626786
566.825,-0.188975587
567.76,-0.188975587
568.695,-0.188975587
569.63,-0.153626786
570.564,-0.224324388
571.498,-0.153626786
572.433,-0.259673189
573.366,-0.401068393
574.3,-0.224324388
575.234,-0.259673189
576.167,-0.401068393
577.1,-0.259673189
578.033,-0.401068393
578.965,-0.436417194
579.898,-0.436417194
580.83,-0.188975587
581.762,-0.188975587
582.694,-0.188975587
583.625,-0.118277985
584.557,-0.082929184
585.488,0.05846602
586.419,0.05846602
587.349,-0.471765995
588.28,-0.613161199
589.21,-0.29502199
590.14,-0.436417194
591.07,-0.330370791
592,-1.00199801
592.929,-0.365719592
593.859,-0.542463597
594.788,-0.047580383
595.716,-0.153626786
596.645,-0.188975587
597.573,-0.542463597
598.502,0.093814821
599.43,-0.047580383
600.357,-0.577812398
601.285,-0.330370791
602.212,-0.401068393
603.139,0.129163621
604.066,0.836139641
604.993,0.518000432
605.919,0.093814821
606.846,0.411954029
607.772,0.235210024
608.698,0.305907626
609.623,0.093814821
610.549,-0.012231582
611.474,0.305907626
612.399,-0.082929184
613.324,0.270558825
614.248,0.023117219
615.173,-0.047580383
616.097,-0.153626786
617.021,-0.082929184
617.945,-0.118277985
618.868,-0.153626786
619.791,-0.047580383
620.715,-0.012231582
621.637,-0.188975587
622.56,-0.188975587
623.483,-0.188975587
624.405,-0.188975587
625.327,-0.188975587
626.249,-0.188975587
627.171,-0.188975587
628.092,-0.188975587
629.013,-0.188975587
629.934,-0.188975587
630.855,-0.188975587
631.776,-0.188975587
632.696,-0.188975587
633.616,-0.188975587
634.536,-0.188975587
635.456,-0.188975587
636.376,-0.188975587
637.295,-0.188975587
638.214,-0.188975587
639.133,-0.188975587
640.052,-0.188975587
640.97,-0.188975587
641.889,-0.188975587
642.807,-0.224324388
643.725,-0.153626786
644.642,-0.188975587
645.56,-0.188975587
646.477,-0.118277985
647.394,-0.188975587
648.311,-0.153626786
649.228,-0.118277985
650.144,-0.188975587
651.061,-0.188975587
651.977,-0.188975587
652.892,-0.188975587
653.808,-0.188975587
654.723,-0.188975587
655.639,-0.188975587
656.554,-0.188975587
657.468,-0.188975587
658.383,-0.188975587
659.297,-0.188975587
660.212,-0.188975587
661.126,-0.188975587
662.039,-0.224324388
662.953,-0.188975587
663.866,-0.153626786
664.779,-0.153626786
665.692,-0.188975587
666.605,-0.188975587
667.518,-0.188975587
668.43,-0.29502199
669.342,-0.188975587
670.254,-0.365719592
671.166,-0.153626786
672.077,-0.29502199
672.988,-0.330370791
673.9,-0.188975587
674.81,-0.224324388
675.721,-0.188975587
676.632,-0.188975587
677.542,-0.188975587
678.452,-0.188975587
679.362,-0.188975587
680.271,-0.330370791
681.181,-0.188975587
682.09,-0.188975587
682.999,-0.082929184
683.908,-0.188975587
684.817,-0.153626786
685.725,-0.188975587
686.633,-0.259673189
687.541,-0.188975587
688.449,-0.188975587
689.357,-0.188975587
690.264,-0.188975587
691.171,-0.188975587
692.078,-0.188975587
692.985,-0.188975587
693.892,-0.153626786
694.798,-0.188975587
695.704,-0.188975587
696.61,-0.153626786
697.516,-0.153626786
698.422,-0.224324388
699.327,-0.012231582
700.232,-0.224324388
701.137,-0.188975587
702.042,-0.436417194
702.946,-0.224324388
703.851,-0.365719592
704.755,-0.153626786
705.659,-0.365719592
706.562,-0.118277985
707.466,-0.047580383
708.369,-0.188975587
